Benchmark,DE rand/1/bin,DE best/1/bin,PSO,SOMA AtO,SOMA AtA
Ackley,9.649242203489889 (4),11.918792733340746 (3),4.411172633839529 (1),3.449996959751569 (2),13.809895135999195 (5)
Alpine,26.06921069415256 (4),48.60994299166224 (3),13.492263452829382 (1),2.2396128347994804 (2),63.666527129194634 (5)
Alpine2,-280417214.5245675 (4),-11135009.620269112 (3),-25579807444.859436 (1),-315019337676.5184 (2),-24244.253280811645 (5)
DeJongSphere,23027.628555562438 (3),41974.68771176659 (4),24.233333333333334 (1),95.13013587785038 (2),66851.00068531635 (5)
DifferentPowersSum,0.022324117278781183 (4),0.20699983498505936 (3),1.1543640048557989e-06 (1),1.1052567008737394e-08 (2),0.6447559914671435 (5)
DixonPrice,200304.1000029293 (3),878981.1668261143 (4),24.9 (1),59.767904825400336 (2),1646158.7448722592 (5)
Exponential,-0.38207815537102313 (4),-0.12791194468393458 (3),-0.9381391341302073 (1),-0.9963907671043366 (2),-0.0420477482798434 (5)
Griewank,6.508004580305481 (4),12.089150776515408 (3),1.548722423429515 (1),0.6487204901318805 (2),17.41328988777214 (5)
Matyas,6075.183138877209 (3),19465.020205796733 (4),26.0 (1),163.8035813546978 (2),27797.360578756237 (5)
Michalewicz,-12.923374125136995 (4),-10.21302845689332 (3),-21.472434228912523 (1),-24.305014751629688 (2),-7.726564969063428 (5)
Michalewicz2,-10.065502972066316 (4),-7.843476887820403 (3),-17.324495913553935 (1),-22.51722107811643 (2),-6.4563754183715885 (5)
Qing,6439.954346639831 (3),6735.291273725916 (4),23.433333333333334 (1),5542.342199469319 (2),6996.4388090226585 (5)
Quartic,29.503101206959535 (3),67.75695467501913 (4),10.728811882235652 (1),10.876579042431137 (2),114.82995051036998 (5)
Rastrigin,308.58471870464706 (3),365.68261838683395 (4),21.933333333333334 (1),53.09348454215253 (2),440.65199388674023 (5)
Rosenbrock,2871.0824394297492 (3),7783.970874003921 (4),26.433333333333334 (1),61.84932307223115 (2),13915.750351636216 (5)
RotatedHyperEllipsoid,236247.3423825237 (3),637816.3196629728 (4),24.966666666666665 (1),1251.9250905231868 (2),924732.5087869305 (5)
Salomon,0.5369427053696202 (3),0.7191462087961995 (4),0.3765400125134775 (1),0.37654001252108654 (2),0.9098192355256148 (5)
Schwefel,7788.819363180814 (3),8983.295386034402 (4),24.533333333333335 (1),3172.7297429861105 (2),10172.503116163918 (5)
Schwefel20,654.8508821195769 (3),920.509446269994 (4),25.9 (1),33.33848014720484 (2),1137.2628036537244 (5)
Schwefel23,380075584.92575586 (3),1871765274.7149978 (4),17.833333333333332 (1),211.85032341747763 (2),7141638652.855004 (5)
Styblinski,-742.2179299258516 (4),-619.8431260952419 (3),-954.8253402238024 (1),-1060.2318503095478 (2),-473.8320880796502 (5)
SumSquares,2746.6166737214808 (4),6143.017006545098 (3),24.666666666666668 (1),9.81181173827078 (2),9203.594061877131 (5)
Trid,321168.57602733455 (3),647242.0675533196 (4),26.9 (1),962.4380747016501 (2),912348.5841886178 (5)
XinSheYang,264619542.4182537 (3),558671366423.4427 (4),17.0 (1),28.61643168118119 (2),33534596570487.09 (5)
Zakharov,34793.54571920966 (4),17488998.27803324 (3),21.7 (1),10.113799008447051 (2),1360548502.6762598 (5)
